player_id,region,total_playtime_hours,days_active,spending_category,total_spent,battle_pass_purchases,skins_purchased,loot_boxes_purchased,days_since_last_purchase,daily_sessions,sessions_per_week,churn_status,d1_retention,d7_retention,d30_retention,arpu,arppu
1,EU,25,62,Free,0,0,1,2,11,0,11,No,1,1,0,0.0,0.0
2,LATAM,43,262,Free,200,0,1,2,52,1,23,Yes,1,0,1,0.7633587786259542,0.7633587786259542
3,APAC,119,218,Free,0,1,4,2,38,1,41,No,1,1,0,0.0,0.0
4,EU,41,232,Dolphin,0,0,1,5,45,0,17,No,1,1,1,0.0,0.0
5,NA,155,336,Small Spender,50,0,0,4,1,0,37,No,1,0,0,0.1488095238095238,0.1488095238095238
6,NA,96,72,Small Spender,0,0,3,0,5,1,29,No,1,1,0,0.0,0.0
7,NA,104,16,Free,5,0,2,4,55,3,1,No,1,0,0,0.3125,0.3125
8,LATAM,86,38,Free,5,0,1,1,21,1,20,Yes,1,0,0,0.13157894736842105,0.13157894736842105
9,EU,138,177,Free,0,0,3,3,43,5,7,Yes,1,0,0,0.0,0.0
10,APAC,139,321,Free,0,1,1,7,3,1,31,Yes,1,1,0,0.0,0.0
11,NA,116,83,Free,100,0,1,2,53,6,26,Yes,1,1,0,1.2048192771084338,1.2048192771084338
12,LATAM,128,17,Free,0,0,0,3,14,0,31,No,0,0,0,0.0,0.0
13,APAC,89,156,Free,0,0,3,2,36,1,38,Yes,1,1,0,0.0,0.0
14,NA,127,172,Free,5,1,2,0,49,1,18,Yes,1,1,0,0.029069767441860465,0.029069767441860465
15,NA,83,70,Free,0,0,3,4,32,1,17,No,1,0,0,0.0,0.0
16,NA,100,71,Free,10,0,1,4,29,2,21,No,1,1,1,0.14084507042253522,0.14084507042253522
17,NA,86,255,Free,0,0,3,2,58,2,9,Yes,1,0,1,0.0,0.0
18,EU,77,131,Free,50,0,1,0,40,3,23,No,1,0,0,0.3816793893129771,0.3816793893129771
19,EU,65,49,Free,0,0,2,3,17,3,19,No,1,0,0,0.0,0.0
20,NA,123,21,Free,0,0,4,4,39,2,40,Yes,0,0,1,0.0,0.0
21,EU,165,320,Free,50,1,0,1,13,4,23,Yes,1,1,0,0.15625,0.15625
22,NA,158,220,Free,0,0,2,5,42,2,19,No,1,0,0,0.0,0.0
23,NA,37,187,Free,0,0,4,3,50,3,32,No,0,0,0,0.0,0.0
24,EU,164,32,Small Spender,10,0,2,2,42,3,16,No,1,0,0,0.3125,0.3125
25,EU,84,203,Free,5,0,3,0,19,1,16,No,1,0,1,0.024630541871921183,0.024630541871921183
26,APAC,130,276,Free,0,0,1,3,35,3,30,Yes,1,1,1,0.0,0.0
27,NA,54,242,Free,0,0,3,3,53,2,13,No,1,0,1,0.0,0.0
28,EU,107,16,Free,10,0,2,3,47,3,28,Yes,1,0,1,0.625,0.625
29,EU,115,316,Free,0,1,2,4,48,3,9,No,1,0,0,0.0,0.0
30,NA,25,173,Whale,100,0,2,3,20,5,30,No,1,1,0,0.5780346820809249,0.5780346820809249
31,EU,130,137,Small Spender,0,0,2,5,36,5,35,No,0,1,0,0.0,0.0
32,NA,167,179,Free,50,0,3,2,27,2,23,Yes,1,0,0,0.27932960893854747,0.27932960893854747
33,NA,91,359,Small Spender,0,0,3,3,16,6,41,Yes,1,0,1,0.0,0.0
34,LATAM,168,61,Free,0,0,1,2,34,4,8,No,0,1,1,0.0,0.0
35,LATAM,90,104,Free,0,0,1,2,17,4,7,No,1,1,1,0.0,0.0
36,APAC,142,317,Small Spender,0,0,1,0,25,2,1,Yes,1,1,0,0.0,0.0
37,NA,0,195,Free,0,0,1,4,39,4,23,No,1,1,0,0.0,0.0
38,NA,220,256,Free,0,0,2,3,29,3,21,No,1,1,0,0.0,0.0
39,APAC,174,76,Small Spender,50,0,1,1,2,2,8,Yes,1,1,0,0.6578947368421053,0.6578947368421053
40,EU,85,271,Free,0,0,2,1,31,0,39,No,1,0,1,0.0,0.0
41,NA,1,181,Whale,200,0,1,5,44,4,16,No,1,0,1,1.1049723756906078,1.1049723756906078
42,EU,114,132,Small Spender,0,0,3,3,14,2,21,No,1,1,0,0.0,0.0
43,NA,27,151,Small Spender,5,0,3,3,56,1,11,No,1,0,0,0.033112582781456956,0.033112582781456956
44,LATAM,122,155,Free,50,1,1,3,4,0,18,No,0,1,0,0.3225806451612903,0.3225806451612903
45,NA,120,359,Free,100,0,3,1,25,3,1,No,0,0,0,0.2785515320334262,0.2785515320334262
46,APAC,52,235,Small Spender,0,1,2,2,31,4,18,Yes,1,1,0,0.0,0.0
47,NA,156,248,Whale,5,0,3,1,48,0,26,No,1,0,1,0.020161290322580645,0.020161290322580645
48,EU,140,165,Free,0,0,1,4,48,4,23,Yes,1,1,0,0.0,0.0
49,EU,148,205,Whale,0,0,2,1,39,3,23,Yes,0,0,0,0.0,0.0
50,NA,100,165,Free,10,0,3,2,57,0,19,No,1,1,0,0.06060606060606061,0.06060606060606061
51,LATAM,29,213,Free,0,0,1,1,45,2,25,Yes,1,1,0,0.0,0.0
52,APAC,148,254,Free,0,0,4,2,23,2,13,No,1,1,0,0.0,0.0
53,LATAM,86,157,Free,0,0,0,2,44,5,11,No,0,0,0,0.0,0.0
54,LATAM,30,177,Small Spender,0,0,2,4,56,2,20,No,1,0,0,0.0,0.0
55,EU,167,75,Free,0,0,4,3,20,1,20,No,1,0,0,0.0,0.0
56,LATAM,204,178,Dolphin,50,0,4,4,42,2,22,Yes,1,1,0,0.2808988764044944,0.2808988764044944
57,NA,97,284,Free,0,0,1,3,8,2,38,No,1,1,0,0.0,0.0
58,NA,207,330,Free,5,0,3,4,25,1,19,No,1,0,0,0.015151515151515152,0.015151515151515152
59,NA,104,133,Small Spender,10,1,2,4,22,3,29,Yes,1,0,0,0.07518796992481203,0.07518796992481203
60,NA,80,125,Free,0,0,2,3,25,2,22,No,1,0,1,0.0,0.0
61,EU,68,312,Small Spender,10,0,2,3,28,2,23,No,1,0,0,0.03205128205128205,0.03205128205128205
62,NA,181,320,Free,5,0,1,7,43,4,3,Yes,1,1,1,0.015625,0.015625
63,APAC,60,127,Free,0,0,0,4,58,2,20,Yes,1,0,0,0.0,0.0
64,EU,136,345,Free,0,0,1,5,11,3,38,No,1,1,0,0.0,0.0
65,NA,72,225,Dolphin,100,1,1,1,20,4,20,Yes,1,1,1,0.4444444444444444,0.4444444444444444
66,EU,76,17,Free,200,1,3,3,3,2,9,No,1,0,0,11.764705882352942,11.764705882352942
67,NA,151,353,Small Spender,5,0,1,2,36,2,20,No,0,0,1,0.014164305949008499,0.014164305949008499
68,APAC,80,311,Small Spender,0,1,1,3,5,1,1,No,1,0,0,0.0,0.0
69,NA,79,246,Free,0,0,4,4,18,2,19,Yes,0,0,1,0.0,0.0
70,LATAM,156,137,Small Spender,0,0,2,2,47,2,19,No,1,1,0,0.0,0.0
71,APAC,179,217,Free,10,0,3,2,36,5,10,No,1,1,1,0.04608294930875576,0.04608294930875576
72,NA,132,196,Free,5,0,2,4,4,4,29,No,0,1,1,0.025510204081632654,0.025510204081632654
73,NA,67,201,Free,0,0,2,4,54,4,15,No,0,0,0,0.0,0.0
74,APAC,74,207,Free,5,0,1,2,28,1,6,No,0,0,1,0.024154589371980676,0.024154589371980676
75,APAC,103,16,Free,0,0,2,4,18,2,31,No,1,1,0,0.0,0.0
76,APAC,116,13,Free,10,0,4,0,51,2,29,No,1,1,0,0.7692307692307693,0.7692307692307693
77,APAC,50,78,Free,0,0,2,3,7,0,40,No,1,0,0,0.0,0.0
78,NA,136,214,Small Spender,5,0,2,0,6,3,7,Yes,0,0,0,0.02336448598130841,0.02336448598130841
79,EU,104,341,Free,0,0,1,1,12,5,26,No,1,0,0,0.0,0.0
80,NA,14,329,Small Spender,0,1,0,2,27,2,23,No,1,1,0,0.0,0.0
81,LATAM,53,119,Free,0,0,1,7,57,3,27,No,1,0,0,0.0,0.0
82,EU,74,181,Small Spender,100,0,1,3,29,4,26,Yes,1,0,0,0.5524861878453039,0.5524861878453039
83,NA,96,324,Free,5,1,3,4,41,4,32,No,1,1,0,0.015432098765432098,0.015432098765432098
84,NA,194,330,Free,0,0,2,1,33,3,21,No,1,0,0,0.0,0.0
85,NA,111,355,Free,10,1,0,3,18,2,25,No,0,0,0,0.028169014084507043,0.028169014084507043
86,NA,57,137,Free,5,0,1,4,53,3,29,No,0,0,0,0.0364963503649635,0.0364963503649635
87,APAC,111,179,Free,5,0,0,3,14,2,23,No,1,0,1,0.027932960893854747,0.027932960893854747
88,EU,82,208,Small Spender,0,0,1,1,4,6,21,Yes,1,0,0,0.0,0.0
89,LATAM,116,54,Dolphin,0,0,3,0,4,3,21,No,1,1,0,0.0,0.0
90,EU,129,79,Small Spender,0,0,2,4,12,5,19,No,1,0,0,0.0,0.0
91,NA,160,271,Free,0,0,0,2,56,5,16,No,1,1,0,0.0,0.0
92,APAC,98,118,Free,5,0,3,5,39,6,23,No,1,0,0,0.0423728813559322,0.0423728813559322
93,APAC,181,106,Dolphin,0,0,0,7,57,3,35,Yes,1,1,0,0.0,0.0
94,EU,145,105,Free,0,0,3,2,58,3,13,No,1,1,1,0.0,0.0
95,APAC,64,303,Dolphin,0,0,1,5,51,3,7,No,1,1,0,0.0,0.0
96,EU,210,118,Free,0,0,4,2,37,2,19,No,1,0,0,0.0,0.0
97,EU,116,229,Whale,200,0,3,3,37,1,13,Yes,1,0,1,0.8733624454148472,0.8733624454148472
98,EU,58,148,Dolphin,100,0,1,1,11,1,20,No,1,0,0,0.6756756756756757,0.6756756756756757
99,NA,182,354,Small Spender,0,1,2,4,41,3,12,Yes,1,0,0,0.0,0.0
100,NA,203,150,Free,50,0,2,4,49,4,21,Yes,1,1,0,0.3333333333333333,0.3333333333333333
101,NA,98,304,Free,0,1,1,2,0,2,29,No,1,1,0,0.0,0.0
102,EU,74,256,Dolphin,10,0,1,2,32,1,19,No,1,1,0,0.0390625,0.0390625
103,NA,91,82,Dolphin,0,0,0,1,20,4,16,No,1,0,0,0.0,0.0
104,EU,135,16,Free,0,0,3,3,3,3,19,No,1,1,1,0.0,0.0
105,LATAM,163,193,Free,50,0,1,3,0,4,37,No,0,1,0,0.25906735751295334,0.25906735751295334
106,NA,128,211,Small Spender,50,1,2,0,34,1,22,No,1,0,1,0.23696682464454977,0.23696682464454977
107,EU,105,74,Free,0,0,2,1,41,3,14,Yes,0,0,0,0.0,0.0
108,APAC,174,277,Small Spender,50,0,1,5,23,1,5,No,1,1,1,0.18050541516245489,0.18050541516245489
109,NA,84,61,Small Spender,5,1,1,2,51,2,22,Yes,1,1,1,0.08196721311475409,0.08196721311475409
110,NA,151,24,Dolphin,0,0,0,2,20,2,23,No,1,1,0,0.0,0.0
111,NA,85,23,Free,0,0,4,0,36,3,21,No,1,1,0,0.0,0.0
112,NA,121,343,Free,0,0,3,1,17,6,17,No,1,0,1,0.0,0.0
113,LATAM,94,258,Free,10,0,4,2,43,3,22,No,1,0,0,0.03875968992248062,0.03875968992248062
114,APAC,97,198,Dolphin,200,0,2,1,2,4,17,Yes,1,1,0,1.0101010101010102,1.0101010101010102
115,EU,81,53,Free,0,1,4,4,28,2,16,No,1,1,0,0.0,0.0
116,LATAM,167,139,Free,5,0,0,0,1,0,22,No,0,0,0,0.03597122302158273,0.03597122302158273
117,APAC,63,271,Free,10,0,4,1,48,4,23,Yes,0,0,1,0.03690036900369004,0.03690036900369004
118,NA,62,201,Free,0,0,3,2,23,3,22,No,1,0,0,0.0,0.0
119,LATAM,206,164,Small Spender,0,0,5,1,5,2,22,No,0,0,1,0.0,0.0
120,EU,148,92,Small Spender,0,0,1,1,25,4,32,No,1,1,0,0.0,0.0
121,APAC,0,23,Small Spender,0,0,2,4,33,0,29,No,1,0,0,0.0,0.0
122,LATAM,71,88,Free,50,0,2,4,40,0,17,No,1,0,0,0.5681818181818182,0.5681818181818182
123,NA,9,182,Dolphin,0,0,4,3,55,3,26,No,0,1,0,0.0,0.0
124,NA,52,355,Free,0,0,2,4,45,2,21,No,1,1,0,0.0,0.0
125,NA,0,283,Small Spender,10,0,3,6,22,2,14,No,1,0,0,0.0353356890459364,0.0353356890459364
126,EU,93,21,Free,0,0,1,6,47,3,34,No,1,1,0,0.0,0.0
127,APAC,42,49,Free,0,0,2,5,38,3,12,No,0,0,1,0.0,0.0
128,LATAM,102,190,Free,0,0,3,2,42,0,37,No,1,1,1,0.0,0.0
129,NA,18,205,Free,0,1,1,3,41,1,12,No,1,1,0,0.0,0.0
130,EU,104,44,Small Spender,10,0,3,1,33,1,1,No,1,0,0,0.22727272727272727,0.22727272727272727
131,EU,79,300,Free,0,0,3,8,37,6,24,Yes,1,1,0,0.0,0.0
132,NA,175,128,Free,50,1,0,3,41,4,25,No,1,1,0,0.390625,0.390625
